robust, target, y_pred, time_setup, time_star, time_verify, line_number, file_path, y1, y2, y3, y4, y5, y6, y7, y8, y9, y10
1, 1, 1, 0.005149, 0.070496, 0.047573, 1, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0026.mat, 209.004501, -84.276802, 178.543320, 120.107887, 50.081940, 36.478340, 202.333832, -116.279228, -42.469467, 154.130692
1, 1, 1, 0.004291, 0.068155, 0.046958, 2, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0001.mat, 217.515106, -125.849251, 201.131958, 141.005066, 28.385525, 20.346973, 210.571518, -139.651016, -32.937935, 153.642654
1, 1, 1, 0.004437, 0.067755, 0.034619, 3, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0039.mat, 204.046112, -128.726990, 189.600845, 140.181488, 29.396101, 16.364246, 196.434387, -133.614273, -24.150269, 148.725418
1, 1, 1, 0.004309, 0.068012, 0.034278, 4, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0035.mat, 218.775314, -140.278564, 204.098694, 151.325851, 30.342573, 16.542990, 210.561050, -144.293243, -25.124289, 159.210495
1, 1, 1, 0.004383, 0.068021, 0.039164, 5, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0053.mat, 236.501282, -141.077042, 216.787582, 158.723557, 38.224049, 22.478794, 227.725983, -151.132599, -30.704512, 173.178482
1, 1, 1, 0.004625, 0.068211, 0.037951, 6, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0048.mat, 172.507385, -142.343628, 172.485291, 133.920883, 7.635486, -0.762010, 165.705566, -128.345139, -9.163084, 122.324211
1, 1, 1, 0.004082, 0.077720, 0.054392, 7, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0044.mat, 242.853195, -132.799683, 218.224564, 157.444061, 45.454708, 28.344500, 233.984085, -149.654144, -35.584923, 179.065781
1, 1, 1, 0.004732, 0.073481, 0.040687, 8, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0059.mat, 216.599670, -149.535004, 205.938492, 154.711273, 24.561806, 11.730452, 208.337112, -147.745987, -21.292500, 156.532593
1, 1, 1, 0.005050, 0.078904, 0.071424, 9, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0072.mat, 262.873779, -164.771439, 243.839493, 180.059570, 38.369133, 21.484089, 252.981903, -171.634964, -31.435417, 191.641739
0, 1, 1, 0.006693, 0.088972, 0.127902, 10, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0016.mat, 209.347977, -107.570503, 187.093445, 131.086868, 38.673435, 26.527599, 202.325104, -126.977119, -34.586670, 152.290756
1, 1, 1, 0.005567, 0.073790, 0.040391, 11, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0010.mat, 221.198624, -159.148880, 212.646744, 160.947983, 21.766325, 9.163671, 212.672699, -153.836609, -19.575806, 159.187668
1, 1, 1, 0.004864, 0.074258, 0.068845, 12, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0079.mat, 193.772781, -159.859360, 193.721024, 150.395264, 8.570723, -0.869835, 186.090530, -144.147507, -10.287399, 137.375793
1, 1, 1, 0.004636, 0.067485, 0.035821, 13, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0049.mat, 255.094284, -178.436172, 243.360443, 183.245438, 27.698519, 12.760231, 245.273117, -175.064041, -24.271622, 184.067978
1, 1, 1, 0.007683, 0.083306, 0.061484, 14, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0080.mat, 201.749817, -146.907532, 194.597137, 147.614960, 18.966917, 7.612823, 193.981796, -141.117676, -17.276556, 145.032700
1, 1, 1, 0.004696, 0.080134, 0.042655, 15, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0019.mat, 247.317474, -148.129089, 226.914307, 166.250610, 39.655243, 23.234663, 238.117599, -158.318085, -31.901054, 181.025406
1, 1, 1, 0.004859, 0.070874, 0.055472, 16, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0081.mat, 219.958313, -181.427673, 219.870041, 170.681305, 9.722343, -1.002609, 211.191940, -163.606064, -11.671845, 155.909866
1, 1, 1, 0.006709, 0.071219, 0.037020, 17, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0078.mat, 227.462448, -122.240913, 203.624527, 146.492981, 43.687904, 27.497778, 219.204025, -139.189133, -34.058640, 167.954086
1, 1, 1, 0.004369, 0.070462, 0.036809, 18, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0027.mat, 227.057617, -137.636841, 208.932602, 153.398666, 35.576412, 20.632652, 218.618958, -146.105560, -28.745789, 166.047440
1, 1, 1, 0.004296, 0.069702, 0.037354, 19, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0015.mat, 202.687820, -138.906265, 192.347488, 144.314682, 23.522842, 11.438588, 194.990845, -137.788910, -20.277723, 146.600311
1, 1, 1, 0.004674, 0.069903, 0.038935, 20, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0056.mat, 252.289047, -170.925507, 238.670639, 178.685532, 30.250879, 15.044710, 242.649139, -170.593475, -25.872631, 182.618042
1, 1, 1, 0.005547, 0.086397, 0.046824, 21, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0069.mat, 198.861877, -134.924469, 188.225296, 140.969559, 23.781912, 11.820560, 191.333710, -134.564789, -20.354822, 143.977875
1, 1, 1, 0.006849, 0.084756, 0.045750, 22, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0042.mat, 169.335327, -139.730896, 169.317657, 131.463470, 7.495982, -0.745926, 162.664841, -125.987961, -8.995376, 120.079041
1, 1, 1, 0.006111, 0.081265, 0.075474, 23, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0034.mat, 223.775909, -169.602997, 218.246063, 166.768433, 17.592737, 5.513305, 215.038940, -159.574509, -16.909380, 160.153763
0, 1, 1, 0.005680, 0.083590, 0.062335, 24, C:\Users\camer\Documents\data\LibriSpeech\train-clean-100\211\122425\211-122425-0006.mat, 200.871933, -74.378990, 181.239899, 100.195084, 17.985573, 30.136724, 198.568054, -118.027931, -55.932281, 125.712059
